new,discovered,symbol,exchange
true,2017-09-29 23:10:03.0,REP,etherdelta
true,2017-09-29 23:35:02.0,INXT,etherdelta
true,2017-09-30 01:00:04.0,VSMOLD,etherdelta
true,2017-09-30 01:05:02.0,CLD,etherdelta
true,2017-09-30 01:10:02.0,E4ROW,etherdelta
true,2017-09-30 02:15:03.0,NDC,etherdelta
true,2017-09-30 02:55:03.0,SALT,binance
true,2017-09-30 03:10:02.0,DCNT,etherdelta
true,2017-09-30 04:15:03.0,GOKU,cryptopia
true,2017-09-30 04:15:03.0,HSR,cryptopia
true,2017-09-30 04:15:03.0,ODN,cryptopia
true,2017-09-30 04:15:03.0,RUP,cryptopia
true,2017-09-30 05:20:02.0,OAX,etherdelta
true,2017-09-30 09:25:24.0,TGT,etherdelta
true,2017-09-30 14:15:05.0,MGO,etherdelta
true,2017-09-30 16:25:03.0,NET,etherdelta
true,2017-09-30 16:55:03.0,Quiztum,etherdelta
true,2017-09-30 18:30:02.0,DGD,etherdelta
true,2017-09-30 20:25:02.0,ADT,etherdelta
true,2017-09-30 20:30:02.0,RPL,etherdelta
true,2017-10-01 00:10:02.0,PTS,ccex
true,2017-10-01 01:55:02.0,HKG,etherdelta
true,2017-10-01 04:25:03.0,eBTC,etherdelta
true,2017-10-01 05:10:04.0,NMR,etherdelta
true,2017-10-01 05:55:02.0,BIS,cryptopia
true,2017-10-01 06:05:03.0,LDM,etherdelta
true,2017-10-01 07:05:03.0,SAN,etherdelta
true,2017-10-01 07:40:04.0,HMQ,etherdelta
true,2017-10-01 09:10:06.0,MKR,etherdelta
true,2017-10-01 15:45:02.0,NXX,etherdelta
true,2017-10-01 18:00:02.0,GNO,etherdelta
true,2017-10-01 18:15:05.0,RARE,etherdelta
true,2017-10-01 20:00:03.0,Lottereum,etherdelta
true,2017-10-01 20:45:10.0,BNT,etherdelta
true,2017-10-02 00:45:03.0,LUN,etherdelta
true,2017-10-02 02:15:02.0,BMChain Token,etherdelta
true,2017-10-02 03:30:02.0,BOP,etherdelta
true,2017-10-02 07:30:06.0,BMT,etherdelta
true,2017-10-02 07:30:06.0,TFT,etherdelta
true,2017-10-02 07:30:06.0,EBTC,etherdelta
true,2017-10-02 08:30:11.0,ALIS,etherdelta
true,2017-10-02 11:15:02.0,WHL,mercatox
true,2017-10-02 14:45:02.0,ind,liqui
true,2017-10-02 14:45:02.0,trx,liqui
true,2017-10-02 15:45:02.0,DTC,etherdelta
true,2017-10-02 17:15:40.0,XAI,etherdelta
true,2017-10-02 18:45:02.0,FRD,etherdelta
true,2017-10-02 23:00:02.0,ZEC,ccex
true,2017-10-03 02:30:02.0,PIEX,ccex
true,2017-10-03 06:15:03.0,POW,etherdelta
true,2017-10-03 10:00:03.0,JET,etherdelta
true,2017-10-03 11:30:02.0,SWP,etherdelta
true,2017-10-03 19:00:02.0,Proxy Token,etherdelta
true,2017-10-03 19:30:03.0,Silent Notary Token,etherdelta
true,2017-10-03 21:15:03.0,KICK,etherdelta
true,2017-10-03 22:15:02.0,SggCoin,etherdelta
true,2017-10-03 22:30:09.0,FUCKOLD,etherdelta
true,2017-10-04 00:00:04.0,EXN,etherdelta
true,2017-10-04 00:15:02.0,NXC,etherdelta
true,2017-10-04 02:45:02.0,ORME,ccex
true,2017-10-04 02:45:03.0,EDOGE,etherdelta
